iter	Passed	Remaining
0	4	415
1	9	447
2	13	434
3	16	407
4	21	401
5	25	393
6	30	400
7	33	387
8	37	380
9	44	398
10	47	387
11	51	378
12	55	372
13	59	366
14	63	357
15	66	351
16	71	349
17	75	343
18	78	336
19	82	331
20	87	327
21	91	323
22	95	318
23	98	312
24	103	311
25	107	307
26	111	301
27	115	296
28	119	292
29	123	288
30	127	283
31	131	279
32	135	274
33	139	269
34	142	264
35	147	261
36	153	260
37	157	256
38	160	251
39	164	246
40	168	241
41	169	234
42	173	229
43	176	225
44	180	220
45	185	217
46	189	213
47	192	209
48	196	204
49	200	200
50	203	195
51	207	191
52	212	188
53	216	184
54	219	179
55	223	175
56	228	172
57	232	168
58	236	164
59	240	160
60	244	156
61	248	152
62	251	147
63	255	143
64	259	139
65	263	135
66	267	131
67	272	128
68	275	123
69	279	119
70	283	115
71	288	112
72	291	107
73	296	104
74	300	100
75	304	96
76	308	92
77	312	88
78	316	84
79	320	80
80	324	76
81	327	71
82	332	68
83	336	64
84	339	59
85	343	55
86	347	51
87	350	47
88	354	43
89	358	39
90	362	35
91	366	31
92	369	27
93	374	23
94	378	19
95	382	15
96	386	11
97	390	7
98	395	3
99	399	0
